intent,text,clean_text
book_appointment,i have a problem with my car and i want to bring it in for a service,problem car want bring service
book_appointment,my name is mary smith and i would like to have my car repaired will you be open tomorrow,name mary smith would like car repaired open tomorrow
book_appointment,i would like to book the earliest appointment available to come drop off my car,would like book earliest appointment available come drop car
book_appointment,i want to book an appointment,want book appointment
book_appointment,i would like to schedule an appointment for an oil change for tuesday if possible,would like schedule appointment oil change tuesday possible
book_appointment,hi my name is sarah jones i would like to bring in my car for a service this week in the morning is it possible,hi name sarah jones would like bring car service week morning possible
book_appointment,i'm calling to make an inspection appointment my car needs to be looked at,im calling make inspection appointment car need looked
book_appointment,good evening i would want to make a repair appointment for my car,good evening would want make repair appointment car
book_appointment,my car is making a strange noise when is the next appointment you have available,car making strange noise next appointment available
book_appointment,i want to come in tomorrow to have my car looked at,want come tomorrow car looked
book_appointment,hey there i need to make an appointment to repair my air filter,hey need make appointment repair air filter
book_appointment,hello i'd like to bring my car in for a basic servicing,hello id like bring car basic servicing
book_appointment,i want someone to fix my car tomorrow,want someone fix car tomorrow
book_appointment,i want to make an appointment,want make appointment
book_appointment,i want to come in tomorrow morning to have my car repaired,want come tomorrow morning car repaired
book_appointment,can i book an appointment for my car for next week,book appointment car next week
book_appointment,the engine of my car seems to be overheating; can you please set up an appointment for tomorrow morning,engine car seems overheating please set appointment tomorrow morning
book_appointment,i need to have an appointment scheduled for today afternoon if possible,need appointment scheduled today afternoon possible
book_appointment,i would like to schedule an appointment for an oil change,would like schedule appointment oil change
book_appointment,hi i was hoping to schedule an appointment to get my tire patched,hi hoping schedule appointment get tire patched
book_appointment,hi my name is jessica parker i'd like to bring my car in for service,hi name jessica parker id like bring car service
book_appointment,i need to get my car serviced and would appreciate your help with setting up an appointment next week,need get car serviced would appreciate help setting appointment next week
book_appointment,hello can you please assist with setting up an appointment for car servicing sometime this week,hello please assist setting appointment car servicing sometime week
book_appointment,good morning my name is pat wilson i am calling because i got in an accident with my car the other day and i need to get it fixed,good morning name pat wilson calling got accident car day need get fixed
book_appointment,i need an appointment for body work,need appointment body work
